Time,constant
24-Jun-13,10.521
02-Jul-13,
10-Jul-13,5.113
18-Jul-13,
26-Jul-13,
11-Aug-13,78.492
19-Aug-13,
27-Aug-13,61.236
04-Sep-13,
12-Sep-13,90.022
20-Sep-13,96.083
28-Sep-13,100.892
07-Mar-14,30.876
15-Mar-14,
23-Mar-14,42.867
31-Mar-14,53.236
08-Apr-14,51.39
16-Apr-14,31.276
24-Apr-14,108.409
02-May-14,
10-May-14,78.439
18-May-14,26.898
26-May-14,45.701
03-Jun-14,21.182
11-Jun-14,10.575
19-Jun-14,
27-Jun-14,7.2
05-Jul-14,
13-Jul-14,19.794
21-Jul-14,3.188
29-Jul-14,
06-Aug-14,
14-Aug-14,8.752
22-Aug-14,
30-Aug-14,119.274
07-Sep-14,34.614
15-Sep-14,108.248
02-Mar-15,36.044
10-Mar-15,101.748
18-Mar-15,127.504
26-Mar-15,
11-Apr-15,108.687
19-Apr-15,7.933
27-Apr-15,
05-May-15,55.041
13-May-15,47.401
21-May-15,12.856
29-May-15,8.696
14-Jun-15,7.727
22-Jun-15,
30-Jun-15,
08-Jul-15,
16-Jul-15,44.413
24-Jul-15,
01-Aug-15,
17-Aug-15,76.735
25-Aug-15,22.319
02-Sep-15,104.442
10-Sep-15,98.704
18-Sep-15,203.986
26-Sep-15,96.043
04-Mar-16,74.067
12-Mar-16,12.371
20-Mar-16,29.459
28-Mar-16,52.751
05-Apr-16,
13-Apr-16,111.589
21-Apr-16,
29-Apr-16,166.409
07-May-16,67.051
15-May-16,35.141
23-May-16,4.561
31-May-16,7.854
16-Jun-16,
24-Jun-16,11.973
02-Jul-16,
10-Jul-16,
18-Jul-16,
26-Jul-16,
03-Aug-16,
11-Aug-16,
19-Aug-16,75.919
27-Aug-16,
04-Sep-16,125.565
12-Sep-16,
20-Sep-16,173.93
28-Sep-16,132.51
07-Mar-17,51.993
15-Mar-17,148.25
23-Mar-17,65.54
31-Mar-17,108.942
08-Apr-17,44.778
16-Apr-17,
24-Apr-17,95.464
02-May-17,
10-May-17,
18-May-17,127.964
26-May-17,67.713
03-Jun-17,86.369
11-Jun-17,11.863
19-Jun-17,17.216
27-Jun-17,
05-Jul-17,2.857
13-Jul-17,
21-Jul-17,16.366
06-Aug-17,
14-Aug-17,
22-Aug-17,105.29
07-Sep-17,144.217
15-Sep-17,57.92
23-Sep-17,153.561
02-Mar-18,80.738
10-Mar-18,47.025
18-Mar-18,203.441
26-Mar-18,
03-Apr-18,49.224
11-Apr-18,
19-Apr-18,125.888
27-Apr-18,
05-May-18,149.731
13-May-18,
21-May-18,112.306
29-May-18,30.363
06-Jun-18,11.303
14-Jun-18,
22-Jun-18,86.091
30-Jun-18,
08-Jul-18,74.934
24-Jul-18,
01-Aug-18,9.189
09-Aug-18,
17-Aug-18,
25-Aug-18,8.219
02-Sep-18,
10-Sep-18,194.311
18-Sep-18,79.83
26-Sep-18,190.12
05-Mar-19,435.932
13-Mar-19,
21-Mar-19,105.877
29-Mar-19,
06-Apr-19,
14-Apr-19,
22-Apr-19,272.923
30-Apr-19,
08-May-19,
16-May-19,89.257
24-May-19,115.955
01-Jun-19,125.242
09-Jun-19,121.929
17-Jun-19,
25-Jun-19,
03-Jul-19,
11-Jul-19,11.12
19-Jul-19,
27-Jul-19,29.867
04-Aug-19,
20-Aug-19,58.895
28-Aug-19,
05-Sep-19,184.563
21-Sep-19,72.818
29-Sep-19,184.039
07-Mar-20,146.932
15-Mar-20,
23-Mar-20,
31-Mar-20,117.035
08-Apr-20,103.678
16-Apr-20,
24-Apr-20,
02-May-20,59.708
10-May-20,99.857
18-May-20,
26-May-20,85.674
03-Jun-20,
11-Jun-20,30.201
19-Jun-20,
27-Jun-20,10.729
05-Jul-20,12.709
13-Jul-20,15.883
21-Jul-20,
29-Jul-20,15.222
06-Aug-20,
14-Aug-20,
22-Aug-20,
30-Aug-20,
07-Sep-20,18.42
15-Sep-20,
23-Sep-20,
02-Mar-21,
10-Mar-21,163.21
18-Mar-21,
26-Mar-21,61.467
03-Apr-21,121.917
11-Apr-21,145.118
19-Apr-21,
27-Apr-21,44.171
05-May-21,11.55
13-May-21,7.865
21-May-21,16.529
29-May-21,34.193
06-Jun-21,22.482
14-Jun-21,32.945
22-Jun-21,
30-Jun-21,22.484
08-Jul-21,
16-Jul-21,1.324
01-Aug-21,22.544
09-Aug-21,
17-Aug-21,51.772
25-Aug-21,
02-Sep-21,
10-Sep-21,
18-Sep-21,84.271
26-Sep-21,40.145
